n, time
9320,8077
9330,8120
9340,8149
9350,8194
9360,8308
9370,8189
9380,8154
9390,8199
9400,8251
9410,8232
9420,8203
9430,8334
9440,8214
9450,8250
9460,8300
9470,8228
9480,8228
9490,8341
9500,8396
9510,8325
9520,8386
9530,8279
9540,8293
9550,8382
9560,8394
9570,8339
9580,8428
9590,8417
9600,8346
9610,8459
9620,8336
9630,8406
9640,8381
9650,8423
9660,8444
9670,8423
9680,8468
9690,8475
9700,8454
9710,8498
9720,8478
9730,8447
9740,8517
9750,8542
9760,8632
9770,8573
9780,8564
9790,8545
9800,8545
9810,8530
9820,8776
9830,8608
9840,8610
9850,8657
9860,8633
9870,8598
9880,8804
9890,8810
9900,8854
9910,8764
9920,8667
9930,8641
9940,8912
9950,8691
9960,9092
9970,9053
9980,8964
9990,8920
